environment,profile,concurrency,runs_or_repeats,throughput_hs_per_sec,p99_ms,p99_9_ms,max_ms,failures,source_files
fedora_baremetal_ryzen9950x,hybrid_frodo,1,3,264.566667,3.810851,,5.032199,0,reports/capacity/hybrid_frodo/hybrid_frodo_c1_run1.json;reports/capacity/hybrid_frodo/hybrid_frodo_c1_run2.json;reports/capacity/hybrid_frodo/hybrid_frodo_c1_run3.json
fedora_baremetal_ryzen9950x,hybrid_frodo,8,3,1908.066667,5.034122,,10.089278,0,reports/capacity/hybrid_frodo/hybrid_frodo_c8_run1.json;reports/capacity/hybrid_frodo/hybrid_frodo_c8_run2.json;reports/capacity/hybrid_frodo/hybrid_frodo_c8_run3.json
fedora_baremetal_ryzen9950x,hybrid_frodo,32,3,4219.733333,11.203837,,27.381322,0,reports/capacity/hybrid_frodo/hybrid_frodo_c32_run1.json;reports/capacity/hybrid_frodo/hybrid_frodo_c32_run2.json;reports/capacity/hybrid_frodo/hybrid_frodo_c32_run3.json
fedora_baremetal_ryzen9950x,hybrid_frodo,128,3,3938.333333,68.071977,,132.187643,0,reports/capacity/hybrid_frodo/hybrid_frodo_c128_run1.json;reports/capacity/hybrid_frodo/hybrid_frodo_c128_run2.json;reports/capacity/hybrid_frodo/hybrid_frodo_c128_run3.json
fedora_baremetal_ryzen9950x,hybrid_hqc,1,3,34.977778,29.345941,,31.140661,0,reports/capacity/hybrid_hqc/hybrid_hqc_c1_run1.json;reports/capacity/hybrid_hqc/hybrid_hqc_c1_run2.json;reports/capacity/hybrid_hqc/hybrid_hqc_c1_run3.json
fedora_baremetal_ryzen9950x,hybrid_hqc,8,3,260.294444,31.132396,,45.764916,0,reports/capacity/hybrid_hqc/hybrid_hqc_c8_run1.json;reports/capacity/hybrid_hqc/hybrid_hqc_c8_run2.json;reports/capacity/hybrid_hqc/hybrid_hqc_c8_run3.json
fedora_baremetal_ryzen9950x,hybrid_hqc,32,3,502.433333,71.584167,,186.417759,0,reports/capacity/hybrid_hqc/hybrid_hqc_c32_run1.json;reports/capacity/hybrid_hqc/hybrid_hqc_c32_run2.json;reports/capacity/hybrid_hqc/hybrid_hqc_c32_run3.json
fedora_baremetal_ryzen9950x,hybrid_hqc,128,3,500.883333,609.766431,,1047.081124,0,reports/capacity/hybrid_hqc/hybrid_hqc_c128_run1.json;reports/capacity/hybrid_hqc/hybrid_hqc_c128_run2.json;reports/capacity/hybrid_hqc/hybrid_hqc_c128_run3.json
fedora_baremetal_ryzen9950x,mlkem,1,3,28450.244444,0.03152,,0.554605,0,reports/capacity/mlkem768/mlkem768_c1_run1.json;reports/capacity/mlkem768/mlkem768_c1_run2.json;reports/capacity/mlkem768/mlkem768_c1_run3.json
fedora_baremetal_ryzen9950x,mlkem,8,3,39352.872222,0.433633,,2.209847,0,reports/capacity/mlkem768/mlkem768_c8_run1.json;reports/capacity/mlkem768/mlkem768_c8_run2.json;reports/capacity/mlkem768/mlkem768_c8_run3.json
fedora_baremetal_ryzen9950x,mlkem,32,3,20551.188889,4.11187,,9.502023,0,reports/capacity/mlkem768/mlkem768_c32_run1.json;reports/capacity/mlkem768/mlkem768_c32_run2.json;reports/capacity/mlkem768/mlkem768_c32_run3.json
fedora_baremetal_ryzen9950x,mlkem,128,3,19625.744444,17.951108,,48.680774,0,reports/capacity/mlkem768/mlkem768_c128_run1.json;reports/capacity/mlkem768/mlkem768_c128_run2.json;reports/capacity/mlkem768/mlkem768_c128_run3.json
