family,algorithm,resolved_algorithm,concurrency,verify_per_sec_mean,verify_per_sec_stdev,p50_ms_mean,p95_ms_mean,p99_ms_mean,max_ms_max,worker_errors_sum,requests_in_flight_max_max,latency_truncated_any
ML-DSA-65,ML-DSA,ML-DSA-65,1,37442.37948767628,40.41673092872359,0.02630333331884079,0.026650333287155565,0.027993333408934024,0.5361240000638645,0,1,False
ML-DSA-65,ML-DSA,ML-DSA-65,8,265946.58591060765,1771.1075424341439,0.028843666693016228,0.03305366666002859,0.04086033330471158,2.31499800020174,0,8,True
ML-DSA-65,ML-DSA,ML-DSA-65,10,238578.45804505414,4190.94840866626,0.03942699989541628,0.05834333342136233,0.0765540034960092,2.9858950001653284,0,10,True
ML-DSA-65,ML-DSA,ML-DSA-65,12,225776.9800966081,688.5435573536327,0.0504806665351983,0.08289766674351995,0.11127736659849084,2.0690480000666867,0,12,True
ML-DSA-65,ML-DSA,ML-DSA-65,16,205061.76072931133,11920.662241995484,0.06973033350732294,0.15887133335278728,0.23501569647578438,1.4607230000365234,0,16,True
ML-DSA-65,ML-DSA,ML-DSA-65,24,143196.19070544466,1631.9667390601255,0.16437833316255515,0.4368070000661343,0.6195453965756316,2.1692079999411362,0,24,True
ML-DSA-65,ML-DSA,ML-DSA-65,32,137449.19160691032,662.0453252748243,0.22747533330402803,0.6326253499764788,0.9277694667692541,2.8130939999755356,0,32,True
SLH-DSA,SLH-DSA,SPHINCS+-SHA2-128f-simple,1,3212.3262400291133,3.606810021870431,0.3106226668023737,0.32072966647926177,0.32668256707135396,0.8243080001193448,0,1,False
SLH-DSA,SLH-DSA,SPHINCS+-SHA2-128f-simple,8,22759.924079892226,70.94869829407462,0.34954966698326945,0.3685229997548352,0.37991531362422387,3.6181410005156067,0,8,False
SLH-DSA,SLH-DSA,SPHINCS+-SHA2-128f-simple,16,32941.01569637741,367.42924290639075,0.484407666590414,0.5382716666038808,0.6150898333574631,4.509618999691156,0,16,False
SLH-DSA,SLH-DSA,SPHINCS+-SHA2-128f-simple,32,36294.84382044095,68.98622171046739,0.8693773330984792,0.9685353164513799,1.026890033432816,11.873843999637756,0,32,False
SLH-DSA,SLH-DSA,SPHINCS+-SHA2-128f-simple,64,35798.64823114911,291.66160841746097,0.9182046666561897,5.343886999738364,8.242927556605839,27.805002000604873,0,64,False
SLH-DSA,SLH-DSA,SPHINCS+-SHA2-128f-simple,128,34565.39689459821,65.87850359186865,1.5562384996883338,12.33557151686,19.162848909942728,66.95050399957836,0,128,False
