profile,delay_ms,iter,http_code,time_connect,time_appconnect,time_starttransfer,time_total
X25519,0,1,200,0.000437,0.003102,0.004177,0.004200
X25519,0,2,200,0.000155,0.002563,0.003290,0.003307
X25519,0,3,200,0.000146,0.002538,0.003270,0.003288
X25519,0,4,200,0.000139,0.002495,0.003252,0.003272
X25519,0,5,200,0.000153,0.002557,0.003356,0.003374
X25519,0,6,200,0.000144,0.002829,0.003595,0.003611
X25519,0,7,200,0.000139,0.002524,0.003298,0.003316
X25519,0,8,200,0.000139,0.002435,0.003176,0.003192
X25519,0,9,200,0.000158,0.002462,0.003194,0.003211
X25519,0,10,200,0.000160,0.002518,0.003241,0.003258
X25519,0,11,200,0.000141,0.002469,0.003139,0.003155
X25519,0,12,200,0.000142,0.002553,0.003273,0.003291
X25519,0,13,200,0.000138,0.002448,0.003207,0.003225
X25519,0,14,200,0.000169,0.002487,0.003255,0.003270
X25519,0,15,200,0.000139,0.002482,0.003133,0.003158
X25519,0,16,200,0.000136,0.002461,0.003159,0.003175
X25519,0,17,200,0.000154,0.002453,0.003189,0.003208
X25519,0,18,200,0.000133,0.002529,0.003207,0.003224
X25519,0,19,200,0.000141,0.002469,0.003160,0.003176
X25519,0,20,200,0.000135,0.002479,0.003185,0.003202
X25519,0,21,200,0.000147,0.002394,0.003120,0.003135
X25519,0,22,200,0.000138,0.002425,0.003161,0.003175
X25519,0,23,200,0.000136,0.002484,0.003208,0.003225
X25519,0,24,200,0.000141,0.002482,0.003224,0.003241
X25519,0,25,200,0.000143,0.002484,0.003272,0.003288
X25519,0,26,200,0.000152,0.002495,0.003211,0.003232
X25519,0,27,200,0.000160,0.002477,0.003144,0.003177
X25519,0,28,200,0.000131,0.002391,0.003098,0.003115
X25519,0,29,200,0.000133,0.002453,0.003190,0.003208
X25519,0,30,200,0.000165,0.002496,0.003224,0.003238
X25519,0,31,200,0.000126,0.002540,0.003256,0.003273
X25519,0,32,200,0.000154,0.002537,0.003195,0.003214
X25519,0,33,200,0.000128,0.002450,0.003182,0.003199
X25519,0,34,200,0.000159,0.002564,0.003298,0.003320
X25519,0,35,200,0.000164,0.002537,0.003324,0.003348
X25519,0,36,200,0.000162,0.002483,0.003258,0.003277
X25519,0,37,200,0.000136,0.002570,0.003228,0.003247
X25519,0,38,200,0.000135,0.002564,0.003279,0.003297
X25519,0,39,200,0.000130,0.002520,0.003252,0.003271
X25519,0,40,200,0.000139,0.002410,0.003140,0.003156
X25519,0,41,200,0.000177,0.002547,0.003321,0.003340
X25519,0,42,200,0.000144,0.002480,0.003164,0.003188
X25519,0,43,200,0.000140,0.002898,0.003604,0.003619
X25519,0,44,200,0.000135,0.002340,0.003030,0.003046
X25519,0,45,200,0.000138,0.002275,0.002947,0.002964
X25519,0,46,200,0.000123,0.002193,0.002852,0.002869
X25519,0,47,200,0.000123,0.002191,0.002861,0.002876
X25519,0,48,200,0.000120,0.002106,0.002705,0.002719
X25519,0,49,200,0.000118,0.002158,0.002794,0.002812
X25519,0,50,200,0.000136,0.002093,0.002685,0.002698
X25519,0,51,200,0.000118,0.002051,0.002614,0.002626
X25519,0,52,200,0.000108,0.002037,0.002595,0.002608
X25519,0,53,200,0.000128,0.001935,0.002484,0.002498
X25519,0,54,200,0.000101,0.001932,0.002501,0.002514
X25519,0,55,200,0.000132,0.001938,0.002514,0.002528
