profile,concurrency,delay_ms,worker,iter,http_code,time_connect,time_appconnect,time_starttransfer,time_total
X25519MLKEM768,32,0,10,1,200,0.004646,0.021432,0.024857,0.024876
X25519MLKEM768,32,0,10,2,200,0.003669,0.015006,0.031723,0.031742
X25519MLKEM768,32,0,10,3,200,0.002919,0.020790,0.024657,0.024673
X25519MLKEM768,32,0,10,4,200,0.004295,0.011268,0.017444,0.017458
X25519MLKEM768,32,0,10,5,200,0.002249,0.012455,0.019797,0.019817
X25519MLKEM768,32,0,10,6,200,0.000732,0.008380,0.013079,0.013097
X25519MLKEM768,32,0,10,7,200,0.005596,0.015112,0.026544,0.026563
X25519MLKEM768,32,0,10,8,200,0.001773,0.017686,0.022753,0.022770
X25519MLKEM768,32,0,10,9,200,0.001877,0.013703,0.015898,0.015913
X25519MLKEM768,32,0,10,10,200,0.013030,0.020430,0.025452,0.025470
X25519MLKEM768,32,0,10,11,200,0.003083,0.009309,0.017473,0.017491
X25519MLKEM768,32,0,10,12,200,0.000692,0.006919,0.009938,0.009952
X25519MLKEM768,32,0,10,13,200,0.005736,0.016465,0.017730,0.017745
X25519MLKEM768,32,0,10,14,200,0.001623,0.016447,0.019668,0.019689
X25519MLKEM768,32,0,10,15,200,0.004011,0.012772,0.015699,0.015740
X25519MLKEM768,32,0,10,16,200,0.002667,0.011262,0.017430,0.017444
X25519MLKEM768,32,0,10,17,200,0.001326,0.005312,0.009763,0.009777
X25519MLKEM768,32,0,10,18,200,0.002953,0.009259,0.014404,0.014417
X25519MLKEM768,32,0,10,19,200,0.001438,0.007238,0.011116,0.011130
X25519MLKEM768,32,0,10,20,200,0.001219,0.008613,0.013104,0.013147
X25519MLKEM768,32,0,10,21,200,0.002648,0.007272,0.010748,0.010761
X25519MLKEM768,32,0,10,22,200,0.000482,0.007415,0.011169,0.011182
X25519MLKEM768,32,0,10,23,200,0.006245,0.009632,0.012835,0.012849
X25519MLKEM768,32,0,10,24,200,0.004036,0.015736,0.019988,0.020003
X25519MLKEM768,32,0,10,25,200,0.004443,0.008530,0.010730,0.010743
X25519MLKEM768,32,0,10,26,200,0.002553,0.008006,0.013464,0.013479
X25519MLKEM768,32,0,10,27,200,0.002405,0.007800,0.016422,0.016437
X25519MLKEM768,32,0,10,28,200,0.001606,0.005234,0.013617,0.013631
X25519MLKEM768,32,0,10,29,200,0.003526,0.010032,0.015419,0.015434
X25519MLKEM768,32,0,10,30,200,0.004426,0.009326,0.012141,0.012156
X25519MLKEM768,32,0,10,31,200,0.001980,0.007995,0.010984,0.010998
X25519MLKEM768,32,0,10,32,200,0.002845,0.008816,0.011932,0.011947
X25519MLKEM768,32,0,10,33,200,0.005403,0.010730,0.015963,0.015976
X25519MLKEM768,32,0,10,34,200,0.012002,0.016558,0.021412,0.021426
X25519MLKEM768,32,0,10,35,200,0.004228,0.006615,0.010891,0.010906
X25519MLKEM768,32,0,10,36,200,0.014634,0.019638,0.021264,0.021278
X25519MLKEM768,32,0,10,37,200,0.018983,0.025769,0.029475,0.029489
X25519MLKEM768,32,0,10,38,200,0.001080,0.008289,0.011971,0.011986
X25519MLKEM768,32,0,10,39,200,0.000938,0.007233,0.011741,0.011753
X25519MLKEM768,32,0,10,40,200,0.001705,0.004788,0.012410,0.012426
X25519MLKEM768,32,0,10,41,200,0.004997,0.009496,0.015601,0.015616
X25519MLKEM768,32,0,10,42,200,0.000603,0.004116,0.006392,0.006404
X25519MLKEM768,32,0,10,43,200,0.007274,0.016843,0.018845,0.018861
X25519MLKEM768,32,0,10,44,200,0.003386,0.012397,0.015787,0.015799
X25519MLKEM768,32,0,10,45,200,0.004049,0.012759,0.015867,0.015880
X25519MLKEM768,32,0,10,46,200,0.002626,0.008085,0.012460,0.012475
X25519MLKEM768,32,0,10,47,200,0.001737,0.008947,0.013029,0.013043
X25519MLKEM768,32,0,10,48,200,0.017164,0.022201,0.025497,0.025512
X25519MLKEM768,32,0,10,49,200,0.001408,0.003683,0.005987,0.006001
X25519MLKEM768,32,0,10,50,200,0.005242,0.008986,0.009512,0.009534
X25519MLKEM768,32,0,11,1,200,0.003717,0.023103,0.026483,0.026501
X25519MLKEM768,32,0,11,2,200,0.003431,0.024016,0.026743,0.026761
X25519MLKEM768,32,0,11,3,200,0.000778,0.012006,0.014576,0.014591
X25519MLKEM768,32,0,11,4,200,0.002368,0.009750,0.014468,0.014496
X25519MLKEM768,32,0,11,5,200,0.006740,0.014030,0.016626,0.016642
X25519MLKEM768,32,0,11,6,200,0.002559,0.009228,0.012658,0.012680
X25519MLKEM768,32,0,11,7,200,0.003456,0.020468,0.023026,0.023112
X25519MLKEM768,32,0,11,8,200,0.004139,0.021524,0.022146,0.022164
X25519MLKEM768,32,0,11,9,200,0.001734,0.011651,0.020131,0.020148
X25519MLKEM768,32,0,11,10,200,0.019038,0.028896,0.032573,0.032588
X25519MLKEM768,32,0,11,11,200,0.002734,0.008249,0.013069,0.013085
X25519MLKEM768,32,0,11,12,200,0.005537,0.012427,0.021106,0.021121
X25519MLKEM768,32,0,11,13,200,0.001012,0.007249,0.012383,0.012397
X25519MLKEM768,32,0,11,14,200,0.015776,0.023427,0.027807,0.027820
X25519MLKEM768,32,0,11,15,200,0.004676,0.014701,0.015450,0.015464
X25519MLKEM768,32,0,11,16,200,0.000596,0.005718,0.006748,0.006762
X25519MLKEM768,32,0,11,17,200,0.020139,0.026581,0.032987,0.033002
X25519MLKEM768,32,0,11,18,200,0.007435,0.012450,0.014244,0.014260
X25519MLKEM768,32,0,11,19,200,0.005652,0.011202,0.014359,0.014375
X25519MLKEM768,32,0,11,20,200,0.005507,0.009965,0.012218,0.012231
