profile,concurrency,delay_ms,worker,iter,http_code,time_connect,time_appconnect,time_starttransfer,time_total
X25519,32,0,10,1,200,0.002986,0.013201,0.023663,0.023680
X25519,32,0,10,2,200,0.003745,0.010443,0.013690,0.013709
X25519,32,0,10,3,200,0.000995,0.015137,0.021643,0.021662
X25519,32,0,10,4,200,0.002567,0.006130,0.012617,0.012641
X25519,32,0,10,5,200,0.001679,0.018147,0.019345,0.019363
X25519,32,0,10,6,200,0.000526,0.006347,0.008475,0.008488
X25519,32,0,10,7,200,0.002743,0.013643,0.014952,0.014994
X25519,32,0,10,8,200,0.001179,0.005875,0.013535,0.013547
X25519,32,0,10,9,200,0.016312,0.029619,0.030750,0.030765
X25519,32,0,10,10,200,0.005708,0.013149,0.013753,0.013770
X25519,32,0,10,11,200,0.001917,0.009001,0.020430,0.020458
X25519,32,0,10,12,200,0.004702,0.008207,0.013154,0.013168
X25519,32,0,10,13,200,0.001309,0.007814,0.019433,0.019448
X25519,32,0,10,14,200,0.008244,0.011205,0.013864,0.013883
X25519,32,0,10,15,200,0.005606,0.020110,0.021495,0.021512
X25519,32,0,10,16,200,0.003677,0.018935,0.022231,0.022247
X25519,32,0,10,17,200,0.006994,0.012315,0.014763,0.014777
X25519,32,0,10,18,200,0.000579,0.009671,0.019822,0.019838
X25519,32,0,10,19,200,0.005870,0.012395,0.015718,0.015733
X25519,32,0,10,20,200,0.015466,0.022464,0.023086,0.023098
X25519,32,0,10,21,200,0.002871,0.014201,0.015829,0.015843
X25519,32,0,10,22,200,0.002762,0.012004,0.013377,0.013388
X25519,32,0,10,23,200,0.019100,0.023714,0.025660,0.025674
X25519,32,0,10,24,200,0.002708,0.008255,0.012221,0.012234
X25519,32,0,10,25,200,0.002066,0.008502,0.010404,0.010418
X25519,32,0,10,26,200,0.001599,0.009113,0.020669,0.020684
X25519,32,0,10,27,200,0.016793,0.023792,0.025687,0.025701
X25519,32,0,10,28,200,0.002583,0.010274,0.020021,0.020039
X25519,32,0,10,29,200,0.003404,0.010341,0.013838,0.013854
X25519,32,0,10,30,200,0.006217,0.013423,0.014328,0.014345
X25519,32,0,10,31,200,0.011392,0.020641,0.027137,0.027197
X25519,32,0,10,32,200,0.004650,0.009266,0.014657,0.014670
X25519,32,0,10,33,200,0.001948,0.020683,0.022680,0.022696
X25519,32,0,10,34,200,0.006474,0.014638,0.020643,0.020658
X25519,32,0,10,35,200,0.005565,0.013561,0.021637,0.021651
X25519,32,0,10,36,200,0.020358,0.026514,0.028256,0.028272
X25519,32,0,10,37,200,0.002547,0.005099,0.008702,0.008716
X25519,32,0,10,38,200,0.009654,0.012443,0.016080,0.016094
X25519,32,0,10,39,200,0.015114,0.017326,0.019784,0.019797
X25519,32,0,10,40,200,0.018528,0.028436,0.029978,0.029993
X25519,32,0,10,41,200,0.000539,0.004846,0.008459,0.008471
X25519,32,0,10,42,200,0.004798,0.012081,0.013929,0.013943
X25519,32,0,10,43,200,0.002055,0.005295,0.008905,0.008919
X25519,32,0,10,44,200,0.001868,0.009213,0.011640,0.011654
X25519,32,0,10,45,200,0.002470,0.008827,0.011869,0.011883
X25519,32,0,10,46,200,0.003973,0.006864,0.009834,0.009847
X25519,32,0,10,47,200,0.013051,0.018510,0.020950,0.020964
X25519,32,0,10,48,200,0.000550,0.002630,0.006130,0.006143
X25519,32,0,10,49,200,0.003392,0.009811,0.011326,0.011340
X25519,32,0,10,50,200,0.004975,0.007650,0.008602,0.008613
X25519,32,0,11,1,200,0.003964,0.018664,0.021276,0.021292
X25519,32,0,11,2,200,0.002300,0.011101,0.022155,0.022174
X25519,32,0,11,3,200,0.000748,0.007713,0.013569,0.013594
X25519,32,0,11,4,200,0.004495,0.008503,0.013292,0.013310
X25519,32,0,11,5,200,0.000620,0.002743,0.006816,0.007357
X25519,32,0,11,6,200,0.002506,0.008473,0.017880,0.017894
X25519,32,0,11,7,200,0.019825,0.026623,0.028555,0.028569
X25519,32,0,11,8,200,0.002467,0.007503,0.010601,0.010615
X25519,32,0,11,9,200,0.002625,0.011117,0.013960,0.013996
X25519,32,0,11,10,200,0.008146,0.014831,0.016703,0.016718
X25519,32,0,11,11,200,0.005945,0.015233,0.018576,0.018590
X25519,32,0,11,12,200,0.004378,0.008260,0.012819,0.012832
X25519,32,0,11,13,200,0.001254,0.005154,0.009042,0.009082
X25519,32,0,11,14,200,0.007405,0.016096,0.017859,0.017873
X25519,32,0,11,15,200,0.003111,0.008142,0.010879,0.010893
X25519,32,0,11,16,200,0.000619,0.007911,0.009981,0.009993
X25519,32,0,11,17,200,0.008727,0.012038,0.014830,0.014847
X25519,32,0,11,18,200,0.000271,0.006072,0.008389,0.008408
X25519,32,0,11,19,200,0.004146,0.008179,0.009860,0.009876
X25519,32,0,11,20,200,0.001887,0.008040,0.011407,0.011421
X25519,32,0,11,21,200,0.000695,0.005581,0.009489,0.009501
X25519,32,0,11,22,200,0.001625,0.004857,0.007638,0.007658
X25519,32,0,11,23,200,0.003521,0.010940,0.018018,0.018037
X25519,32,0,11,24,200,0.002991,0.010124,0.011335,0.011349
X25519,32,0,11,25,200,0.000895,0.006501,0.007886,0.009693
X25519,32,0,11,26,200,0.017361,0.022554,0.026167,0.026183
X25519,32,0,11,27,200,0.006984,0.009536,0.014332,0.014350
X25519,32,0,11,28,200,0.019033,0.022204,0.026071,0.026091
X25519,32,0,11,29,200,0.006296,0.015790,0.022980,0.022992
X25519,32,0,11,30,200,0.000385,0.006680,0.009345,0.009359
X25519,32,0,11,31,200,0.003356,0.017325,0.020337,0.020350
X25519,32,0,11,32,200,0.000937,0.007530,0.018774,0.018789
X25519,32,0,11,33,200,0.004024,0.013900,0.016647,0.016662
X25519,32,0,11,34,200,0.004103,0.012673,0.013815,0.013830
X25519,32,0,11,35,200,0.000124,0.008365,0.009279,0.009295
X25519,32,0,11,36,200,0.008863,0.015628,0.020522,0.020539
X25519,32,0,11,37,200,0.021265,0.031492,0.032478,0.032495
X25519,32,0,11,38,200,0.016433,0.021520,0.024441,0.024456
X25519,32,0,11,39,200,0.001766,0.008428,0.012835,0.012846
X25519,32,0,11,40,200,0.001871,0.004080,0.007237,0.007251
X25519,32,0,11,41,200,0.005327,0.010462,0.017075,0.017089
X25519,32,0,11,42,200,0.020449,0.024914,0.027304,0.027318
X25519,32,0,11,43,200,0.005431,0.010829,0.015503,0.015516
X25519,32,0,11,44,200,0.000521,0.004323,0.007569,0.007583
X25519,32,0,11,45,200,0.011090,0.017038,0.019053,0.019078
X25519,32,0,11,46,200,0.015384,0.019166,0.023114,0.023128
X25519,32,0,11,47,200,0.015645,0.021402,0.026361,0.026376
X25519,32,0,11,48,200,0.001792,0.005592,0.006582,0.006595
X25519,32,0,11,49,200,0.001777,0.010221,0.014411,0.014426
X25519,32,0,11,50,200,0.001267,0.003534,0.007240,0.007255
X25519,32,0,12,1,200,0.001357,0.006887,0.014677,0.014704
X25519,32,0,12,2,200,0.005731,0.012173,0.017630,0.017648
X25519,32,0,12,3,200,0.002176,0.017734,0.018713,0.018728
X25519,32,0,12,4,200,0.001186,0.006277,0.012111,0.012126
X25519,32,0,12,5,200,0.002888,0.008047,0.014378,0.014399
X25519,32,0,12,6,200,0.004006,0.015112,0.022057,0.022072
X25519,32,0,12,7,200,0.004373,0.012769,0.021246,0.021262
X25519,32,0,12,8,200,0.004281,0.008721,0.010086,0.010099
X25519,32,0,12,9,200,0.003846,0.010816,0.019328,0.019343
X25519,32,0,12,10,200,0.001033,0.008589,0.013217,0.013234
X25519,32,0,12,11,200,0.002031,0.009364,0.011489,0.011503
X25519,32,0,12,12,200,0.001221,0.008266,0.011224,0.011244
X25519,32,0,12,13,200,0.004135,0.008507,0.011660,0.011676
X25519,32,0,12,14,200,0.001111,0.013627,0.020905,0.020922
X25519,32,0,12,15,200,0.004429,0.011775,0.016782,0.016804
X25519,32,0,12,16,200,0.001121,0.018462,0.021683,0.021703
X25519,32,0,12,17,200,0.000575,0.009337,0.018371,0.018385
X25519,32,0,12,18,200,0.018443,0.024517,0.026859,0.026872
X25519,32,0,12,19,200,0.001031,0.009351,0.013627,0.013643
X25519,32,0,12,20,200,0.000523,0.003519,0.007669,0.007686
X25519,32,0,12,21,200,0.004971,0.011257,0.014103,0.014120
X25519,32,0,12,22,200,0.002795,0.005568,0.010419,0.010434
X25519,32,0,12,23,200,0.002069,0.010460,0.017589,0.017632
X25519,32,0,12,24,200,0.002591,0.011540,0.019861,0.019878
X25519,32,0,12,25,200,0.001636,0.007346,0.010582,0.010602
X25519,32,0,12,26,200,0.001229,0.005813,0.009433,0.009459
X25519,32,0,12,27,200,0.002436,0.010695,0.011959,0.011985
X25519,32,0,12,28,200,0.001486,0.005880,0.011398,0.011413
X25519,32,0,12,29,200,0.002808,0.012031,0.018585,0.018602
X25519,32,0,12,30,200,0.006003,0.014593,0.020541,0.020559
X25519,32,0,12,31,200,0.006770,0.014136,0.016741,0.016756
X25519,32,0,12,32,200,0.001941,0.006568,0.010665,0.010711
X25519,32,0,12,33,200,0.019018,0.025451,0.032490,0.032532
X25519,32,0,12,34,200,0.002725,0.010187,0.020742,0.020756
X25519,32,0,12,35,200,0.003060,0.009920,0.019732,0.019748
X25519,32,0,12,36,200,0.004893,0.009811,0.014436,0.014453
X25519,32,0,12,37,200,0.002516,0.007901,0.012484,0.012496
X25519,32,0,12,38,200,0.005296,0.009073,0.012045,0.012058
X25519,32,0,12,39,200,0.004476,0.007367,0.011251,0.011265
X25519,32,0,12,40,200,0.002601,0.007792,0.014674,0.014687
X25519,32,0,12,41,200,0.005636,0.017591,0.019390,0.019403
X25519,32,0,12,42,200,0.003375,0.010869,0.019921,0.019934
X25519,32,0,12,43,200,0.000569,0.010352,0.011951,0.011966
X25519,32,0,12,44,200,0.005764,0.011672,0.013215,0.013230
X25519,32,0,12,45,200,0.001013,0.007762,0.010080,0.010095
X25519,32,0,12,46,200,0.001657,0.007584,0.009169,0.009182
X25519,32,0,12,47,200,0.001039,0.003295,0.004151,0.004164
X25519,32,0,12,48,200,0.000115,0.002015,0.002582,0.002602
X25519,32,0,12,49,200,0.000108,0.001920,0.002538,0.002550
X25519,32,0,12,50,200,0.000107,0.001929,0.002535,0.002548
X25519,32,0,13,1,200,0.001304,0.010462,0.013531,0.013551
X25519,32,0,13,2,200,0.002205,0.015029,0.016513,0.016530
X25519,32,0,13,3,200,0.005454,0.009054,0.011781,0.011801
X25519,32,0,13,4,200,0.007436,0.017016,0.020026,0.020042
X25519,32,0,13,5,200,0.001284,0.008324,0.021320,0.021363
X25519,32,0,13,6,200,0.000762,0.008984,0.017691,0.017715
X25519,32,0,13,7,200,0.000785,0.013256,0.014434,0.014457
X25519,32,0,13,8,200,0.000610,0.008567,0.012559,0.012587
X25519,32,0,13,9,200,0.017628,0.025464,0.028009,0.028033
X25519,32,0,13,10,200,0.000111,0.002850,0.007793,0.007805
X25519,32,0,13,11,200,0.002006,0.005475,0.010363,0.010378
X25519,32,0,13,12,200,0.001513,0.009112,0.021020,0.021035
X25519,32,0,13,13,200,0.000730,0.010571,0.019718,0.019734
X25519,32,0,13,14,200,0.003272,0.012315,0.013693,0.013707
X25519,32,0,13,15,200,0.003399,0.012629,0.016628,0.016676
X25519,32,0,13,16,200,0.001657,0.019496,0.022354,0.022372
X25519,32,0,13,17,200,0.006680,0.013526,0.018721,0.018737
X25519,32,0,13,18,200,0.000918,0.007696,0.012823,0.012866
X25519,32,0,13,19,200,0.015702,0.018071,0.022125,0.022144
X25519,32,0,13,20,200,0.005460,0.014072,0.019887,0.019903
X25519,32,0,13,21,200,0.015057,0.018433,0.021179,0.021195
X25519,32,0,13,22,200,0.001454,0.006806,0.016156,0.016170
X25519,32,0,13,23,200,0.018461,0.024902,0.026285,0.026299
X25519,32,0,13,24,200,0.002367,0.011080,0.023660,0.023674
X25519,32,0,13,25,200,0.005694,0.010038,0.019385,0.019400
X25519,32,0,13,26,200,0.001012,0.008533,0.018993,0.019010
X25519,32,0,13,27,200,0.009313,0.014742,0.019097,0.019114
X25519,32,0,13,28,200,0.001766,0.007239,0.009016,0.009034
X25519,32,0,13,29,200,0.002308,0.008862,0.009984,0.009999
X25519,32,0,13,30,200,0.005484,0.014886,0.019274,0.019291
X25519,32,0,13,31,200,0.001007,0.010597,0.020986,0.021003
X25519,32,0,13,32,200,0.000518,0.003715,0.007596,0.007612
X25519,32,0,13,33,200,0.020090,0.026093,0.028208,0.028225
X25519,32,0,13,34,200,0.001617,0.017867,0.020174,0.020199
X25519,32,0,13,35,200,0.000616,0.011011,0.019859,0.019884
X25519,32,0,13,36,200,0.003740,0.016512,0.020425,0.020449
X25519,32,0,13,37,200,0.005035,0.008814,0.010960,0.010974
X25519,32,0,13,38,200,0.000702,0.003762,0.005939,0.005953
X25519,32,0,13,39,200,0.019607,0.027540,0.033182,0.033196
X25519,32,0,13,40,200,0.000950,0.008189,0.018519,0.018534
X25519,32,0,13,41,200,0.000095,0.002108,0.006264,0.006277
X25519,32,0,13,42,200,0.002738,0.010785,0.012531,0.012544
X25519,32,0,13,43,200,0.000118,0.004568,0.006967,0.006981
X25519,32,0,13,44,200,0.002252,0.008637,0.011424,0.011438
X25519,32,0,13,45,200,0.002241,0.008620,0.010044,0.010057
X25519,32,0,13,46,200,0.003360,0.007249,0.010789,0.010803
X25519,32,0,13,47,200,0.006170,0.011347,0.017635,0.017651
X25519,32,0,13,48,200,0.004381,0.009876,0.011273,0.011286
X25519,32,0,13,49,200,0.003040,0.007652,0.008764,0.008781
X25519,32,0,13,50,200,0.000875,0.010705,0.012496,0.012512
X25519,32,0,14,1,200,0.002827,0.006722,0.012027,0.012046
X25519,32,0,14,2,200,0.002455,0.020325,0.026401,0.026418
X25519,32,0,14,3,200,0.003215,0.010676,0.022063,0.022080
X25519,32,0,14,4,200,0.007214,0.012028,0.017091,0.017107
X25519,32,0,14,5,200,0.017067,0.019357,0.024360,0.024376
X25519,32,0,14,6,200,0.004624,0.009813,0.012478,0.012493
X25519,32,0,14,7,200,0.001211,0.007129,0.009832,0.009846
X25519,32,0,14,8,200,0.013739,0.019721,0.023126,0.023142
X25519,32,0,14,9,200,0.002158,0.006721,0.010431,0.010445
X25519,32,0,14,10,200,0.017358,0.020352,0.023533,0.023549
X25519,32,0,14,11,200,0.000970,0.007447,0.018987,0.019000
X25519,32,0,14,12,200,0.021077,0.029705,0.031129,0.031147
X25519,32,0,14,13,200,0.000101,0.004038,0.010844,0.010859
X25519,32,0,14,14,200,0.004604,0.009373,0.013514,0.013526
X25519,32,0,14,15,200,0.005015,0.011877,0.014725,0.014740
X25519,32,0,14,16,200,0.000116,0.005477,0.008221,0.008234
X25519,32,0,14,17,200,0.003113,0.011440,0.020441,0.020454
X25519,32,0,14,18,200,0.007164,0.018393,0.019517,0.019532
X25519,32,0,14,19,200,0.000718,0.008957,0.015789,0.015832
X25519,32,0,14,20,200,0.004116,0.019102,0.020707,0.020723
X25519,32,0,14,21,200,0.003159,0.010422,0.013007,0.013076
X25519,32,0,14,22,200,0.002092,0.010650,0.012967,0.012982
X25519,32,0,14,23,200,0.004062,0.013606,0.015692,0.015709
X25519,32,0,14,24,200,0.001417,0.003866,0.008439,0.008453
X25519,32,0,14,25,200,0.003028,0.007843,0.012044,0.012059
X25519,32,0,14,26,200,0.004506,0.011028,0.013745,0.013759
