ts,role,host,load1,load5,load15,mem_available_kb,established,time_wait,syn_recv,listen,curl_count,haproxy_count,backend_count,haproxy_fd
2026-06-22T10:49:16+03:00,BACKEND,pqc-fedora-vm-backend,0.06,0.07,0.08,7510948,0,0,0,8,0,0,1,0
2026-06-22T10:49:17+03:00,BACKEND,pqc-fedora-vm-backend,0.06,0.07,0.08,7510724,0,0,0,8,0,0,1,0
2026-06-22T10:49:18+03:00,BACKEND,pqc-fedora-vm-backend,0.06,0.07,0.08,7510240,0,0,0,8,0,0,1,0
2026-06-22T10:49:19+03:00,BACKEND,pqc-fedora-vm-backend,0.06,0.07,0.08,7510108,0,0,0,8,0,0,1,0
2026-06-22T10:49:20+03:00,BACKEND,pqc-fedora-vm-backend,0.06,0.07,0.08,7509884,0,0,0,8,0,0,1,0
2026-06-22T10:49:21+03:00,BACKEND,pqc-fedora-vm-backend,0.06,0.07,0.08,7510472,0,0,0,8,0,0,1,0
2026-06-22T10:49:22+03:00,BACKEND,pqc-fedora-vm-backend,0.06,0.07,0.08,7513408,0,0,0,8,0,0,1,0
2026-06-22T10:49:23+03:00,BACKEND,pqc-fedora-vm-backend,0.05,0.07,0.08,7513372,0,0,0,8,0,0,1,0
2026-06-22T10:49:24+03:00,BACKEND,pqc-fedora-vm-backend,0.05,0.07,0.08,7513776,0,0,0,8,0,0,1,0
2026-06-22T10:49:25+03:00,BACKEND,pqc-fedora-vm-backend,0.05,0.07,0.08,7514832,0,0,0,8,0,0,1,0
2026-06-22T10:49:26+03:00,BACKEND,pqc-fedora-vm-backend,0.05,0.07,0.08,7515576,0,0,0,8,0,0,1,0
2026-06-22T10:49:27+03:00,BACKEND,pqc-fedora-vm-backend,0.05,0.07,0.08,7515164,0,0,0,8,0,0,1,0
2026-06-22T10:49:28+03:00,BACKEND,pqc-fedora-vm-backend,0.05,0.07,0.08,7514736,0,0,0,8,0,0,1,0
2026-06-22T10:49:29+03:00,BACKEND,pqc-fedora-vm-backend,0.05,0.07,0.08,7515584,0,0,0,8,0,0,1,0
2026-06-22T10:49:30+03:00,BACKEND,pqc-fedora-vm-backend,0.05,0.07,0.08,7515984,0,0,0,8,0,0,1,0
2026-06-22T10:49:32+03:00,BACKEND,pqc-fedora-vm-backend,0.05,0.07,0.08,7515224,0,0,0,8,0,0,1,0
2026-06-22T10:49:33+03:00,BACKEND,pqc-fedora-vm-backend,0.05,0.07,0.08,7515876,0,0,0,8,0,0,1,0
2026-06-22T10:49:34+03:00,BACKEND,pqc-fedora-vm-backend,0.12,0.08,0.09,7516128,0,0,0,8,0,0,1,0
2026-06-22T10:49:35+03:00,BACKEND,pqc-fedora-vm-backend,0.12,0.08,0.09,7516468,0,0,0,8,0,0,1,0
2026-06-22T10:49:36+03:00,BACKEND,pqc-fedora-vm-backend,0.12,0.08,0.09,7517308,0,0,0,8,0,0,1,0
2026-06-22T10:49:37+03:00,BACKEND,pqc-fedora-vm-backend,0.12,0.08,0.09,7516976,0,0,0,8,0,0,1,0
2026-06-22T10:49:38+03:00,BACKEND,pqc-fedora-vm-backend,0.11,0.08,0.09,7517304,0,0,0,8,0,0,1,0
2026-06-22T10:49:39+03:00,BACKEND,pqc-fedora-vm-backend,0.11,0.08,0.09,7516668,0,0,0,8,0,0,1,0
2026-06-22T10:49:40+03:00,BACKEND,pqc-fedora-vm-backend,0.11,0.08,0.09,7516244,0,0,0,8,0,0,1,0
2026-06-22T10:49:41+03:00,BACKEND,pqc-fedora-vm-backend,0.11,0.08,0.09,7516344,0,0,0,8,0,0,1,0
2026-06-22T10:49:42+03:00,BACKEND,pqc-fedora-vm-backend,0.11,0.08,0.09,7516636,0,0,0,8,0,0,1,0
2026-06-22T10:49:43+03:00,BACKEND,pqc-fedora-vm-backend,0.11,0.08,0.09,7516212,0,0,0,8,0,0,1,0
2026-06-22T10:49:44+03:00,BACKEND,pqc-fedora-vm-backend,0.11,0.08,0.09,7516472,0,0,0,8,0,0,1,0
2026-06-22T10:49:45+03:00,BACKEND,pqc-fedora-vm-backend,0.11,0.08,0.09,7517224,0,0,0,8,0,0,1,0
2026-06-22T10:49:46+03:00,BACKEND,pqc-fedora-vm-backend,0.11,0.08,0.09,7517716,0,0,0,8,0,0,1,0
2026-06-22T10:49:47+03:00,BACKEND,pqc-fedora-vm-backend,0.11,0.08,0.09,7516956,0,0,0,8,0,0,1,0
2026-06-22T10:49:48+03:00,BACKEND,pqc-fedora-vm-backend,0.10,0.08,0.09,7507976,0,513,0,8,0,0,1,0
2026-06-22T10:49:49+03:00,BACKEND,pqc-fedora-vm-backend,0.10,0.08,0.09,7502160,0,1075,0,8,0,0,1,0
2026-06-22T10:49:50+03:00,BACKEND,pqc-fedora-vm-backend,0.10,0.08,0.09,7505096,0,1075,0,8,0,0,1,0
2026-06-22T10:49:51+03:00,BACKEND,pqc-fedora-vm-backend,0.10,0.08,0.09,7506880,0,1075,0,8,0,0,1,0
2026-06-22T10:49:52+03:00,BACKEND,pqc-fedora-vm-backend,0.10,0.08,0.09,7508040,0,1075,0,8,0,0,1,0
2026-06-22T10:49:53+03:00,BACKEND,pqc-fedora-vm-backend,0.09,0.08,0.09,7507812,0,1075,0,8,0,0,1,0
2026-06-22T10:49:54+03:00,BACKEND,pqc-fedora-vm-backend,0.09,0.08,0.09,7509424,0,1075,0,8,0,0,1,0
