ts,role,host,load1,load5,load15,mem_available_kb,established,time_wait,syn_recv,listen,curl_count,haproxy_count,backend_count,haproxy_fd
2026-06-22T10:49:16+03:00,GATEWAY,pqc-fedora-vm-baseline,0.10,0.08,0.08,15595596,0,0,0,8,0,1,0,30
2026-06-22T10:49:17+03:00,GATEWAY,pqc-fedora-vm-baseline,0.10,0.08,0.08,15594744,0,0,0,8,0,1,0,30
2026-06-22T10:49:18+03:00,GATEWAY,pqc-fedora-vm-baseline,0.10,0.08,0.08,15594524,0,0,0,8,0,1,0,30
2026-06-22T10:49:19+03:00,GATEWAY,pqc-fedora-vm-baseline,0.10,0.08,0.08,15594044,0,0,0,8,0,1,0,30
2026-06-22T10:49:20+03:00,GATEWAY,pqc-fedora-vm-baseline,0.09,0.08,0.08,15594044,0,0,0,8,0,1,0,30
2026-06-22T10:49:21+03:00,GATEWAY,pqc-fedora-vm-baseline,0.09,0.08,0.08,15594072,0,0,0,8,0,1,0,30
2026-06-22T10:49:22+03:00,GATEWAY,pqc-fedora-vm-baseline,0.09,0.08,0.08,15593580,0,0,0,8,0,1,0,30
2026-06-22T10:49:23+03:00,GATEWAY,pqc-fedora-vm-baseline,0.09,0.08,0.08,15593088,0,0,0,8,0,1,0,30
2026-06-22T10:49:24+03:00,GATEWAY,pqc-fedora-vm-baseline,0.09,0.08,0.08,15593608,0,0,0,8,0,1,0,30
2026-06-22T10:49:25+03:00,GATEWAY,pqc-fedora-vm-baseline,0.08,0.07,0.08,15593196,0,0,0,8,0,1,0,30
2026-06-22T10:49:26+03:00,GATEWAY,pqc-fedora-vm-baseline,0.08,0.07,0.08,15593428,0,0,0,8,0,1,0,30
2026-06-22T10:49:27+03:00,GATEWAY,pqc-fedora-vm-baseline,0.08,0.07,0.08,15592940,0,0,0,8,0,1,0,30
2026-06-22T10:49:28+03:00,GATEWAY,pqc-fedora-vm-baseline,0.08,0.07,0.08,15592448,0,0,0,8,0,1,0,30
2026-06-22T10:49:29+03:00,GATEWAY,pqc-fedora-vm-baseline,0.08,0.07,0.08,15592460,0,0,0,8,0,1,0,30
