ts,role,host,load1,load5,load15,mem_available_kb,established,time_wait,syn_recv,listen,curl_count,haproxy_count,backend_count,haproxy_fd
2026-06-22T10:49:16+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.08,0.10,0.21,7532696,0,0,0,7,0,0,0,0
2026-06-22T10:49:17+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.08,0.10,0.21,7532564,0,0,0,7,0,0,0,0
2026-06-22T10:49:18+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.08,0.10,0.21,7532244,0,0,0,7,0,0,0,0
2026-06-22T10:49:19+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.08,0.10,0.21,7532700,0,0,0,7,0,0,0,0
2026-06-22T10:49:20+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.07,0.10,0.21,7532356,0,0,0,7,0,0,0,0
2026-06-22T10:49:21+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.07,0.10,0.21,7532048,0,0,0,7,0,0,0,0
2026-06-22T10:49:22+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.07,0.10,0.21,7531556,0,0,0,7,0,0,0,0
2026-06-22T10:49:23+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.07,0.10,0.21,7531440,0,0,0,7,0,0,0,0
2026-06-22T10:49:24+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.07,0.10,0.21,7531772,0,0,0,7,0,0,0,0
2026-06-22T10:49:25+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.06,0.09,0.21,7531532,0,0,0,7,0,0,0,0
2026-06-22T10:49:26+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.06,0.09,0.21,7531564,0,0,0,7,0,0,0,0
2026-06-22T10:49:27+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.06,0.09,0.21,7530896,0,0,0,7,0,0,0,0
2026-06-22T10:49:28+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.06,0.09,0.21,7531516,0,0,0,7,0,0,0,0
2026-06-22T10:49:29+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.06,0.09,0.21,7531200,0,0,0,7,0,0,0,0
2026-06-22T10:49:30+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.06,0.09,0.20,7531028,0,0,0,7,0,0,0,0
2026-06-22T10:49:31+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.06,0.09,0.20,7531176,0,0,0,7,0,0,0,0
2026-06-22T10:49:32+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.06,0.09,0.20,7530776,0,0,0,7,0,0,0,0
2026-06-22T10:49:33+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.06,0.09,0.20,7530776,0,0,0,7,0,0,0,0
2026-06-22T10:49:34+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.06,0.09,0.20,7530776,0,0,0,7,0,0,0,0
2026-06-22T10:49:35+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.05,0.09,0.20,7530776,0,0,0,7,0,0,0,0
2026-06-22T10:49:36+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.05,0.09,0.20,7530536,0,0,0,7,0,0,0,0
2026-06-22T10:49:37+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.05,0.09,0.20,7530284,0,0,0,7,0,0,0,0
2026-06-22T10:49:38+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.05,0.09,0.20,7530108,0,0,0,7,0,0,0,0
2026-06-22T10:49:39+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.05,0.09,0.20,7529792,0,0,0,7,0,0,0,0
2026-06-22T10:49:41+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.05,0.09,0.20,7530240,0,0,0,7,0,0,0,0
2026-06-22T10:49:42+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.05,0.09,0.20,7530240,0,0,0,7,0,0,0,0
2026-06-22T10:49:43+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.05,0.09,0.20,7529988,0,0,0,7,0,0,0,0
2026-06-22T10:49:44+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.05,0.09,0.20,7529748,0,0,0,7,0,0,0,0
2026-06-22T10:49:45+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.05,0.09,0.20,7529572,0,0,0,7,0,0,0,0
2026-06-22T10:49:46+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.05,0.09,0.20,7529868,0,0,0,7,0,0,0,0
2026-06-22T10:49:47+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.05,0.09,0.20,7530700,0,0,0,7,0,0,0,0
2026-06-22T10:49:48+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.05,0.09,0.20,7303124,47,0,0,7,254,0,0,0
2026-06-22T10:49:49+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.05,0.09,0.20,7382160,0,0,0,7,0,0,0,0
2026-06-22T10:49:50+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.04,0.08,0.20,7385384,0,0,0,7,0,0,0,0
2026-06-22T10:49:51+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.04,0.08,0.20,7389124,0,0,0,7,0,0,0,0
2026-06-22T10:49:52+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.04,0.08,0.20,7392184,0,0,0,7,0,0,0,0
2026-06-22T10:49:53+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.04,0.08,0.20,7394660,0,0,0,7,0,0,0,0
2026-06-22T10:49:54+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.04,0.08,0.20,7396548,0,0,0,7,0,0,0,0
2026-06-22T10:49:55+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.04,0.08,0.20,7396864,0,0,0,7,0,0,0,0
2026-06-22T10:49:56+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.04,0.08,0.20,7398824,0,0,0,7,0,0,0,0
2026-06-22T10:49:57+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.04,0.08,0.20,7400244,0,0,0,7,0,0,0,0
2026-06-22T10:49:58+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.04,0.08,0.20,7409800,0,0,0,7,0,0,0,0
2026-06-22T10:49:59+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.04,0.08,0.20,7423904,0,0,0,7,0,0,0,0
2026-06-22T10:50:00+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.03,0.08,0.20,7439144,0,0,0,7,0,0,0,0
2026-06-22T10:50:01+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.03,0.08,0.20,7446784,0,0,0,7,0,0,0,0
2026-06-22T10:50:02+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.03,0.08,0.20,7462896,0,0,0,7,0,0,0,0
2026-06-22T10:50:03+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.03,0.08,0.20,7468340,0,0,0,7,0,0,0,0
2026-06-22T10:50:04+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.03,0.08,0.20,7478636,0,0,0,7,0,0,0,0
