profile,concurrency,delay_ms,worker,iter,http_code,time_connect,time_appconnect,time_starttransfer,time_total
X25519MLKEM768,128,0,100,1,200,0.013672,0.017411,0.031235,0.031249
X25519MLKEM768,128,0,100,2,200,0.076188,0.081899,0.101059,0.101076
X25519MLKEM768,128,0,100,3,200,0.027393,0.031665,0.043970,0.043986
X25519MLKEM768,128,0,100,4,200,0.009947,0.035107,0.059847,0.059863
X25519MLKEM768,128,0,100,5,200,0.017817,0.033893,0.083214,0.083231
X25519MLKEM768,128,0,100,6,200,0.000711,0.074283,0.077192,0.077218
X25519MLKEM768,128,0,100,7,200,0.021130,0.033254,0.048122,0.048136
X25519MLKEM768,128,0,100,8,200,0.072878,0.083750,0.101240,0.101261
X25519MLKEM768,128,0,100,9,200,0.007779,0.018965,0.040948,0.040966
X25519MLKEM768,128,0,100,10,200,0.005005,0.017222,0.021129,0.021153
X25519MLKEM768,128,0,101,1,200,0.020063,0.023523,0.036797,0.036812
X25519MLKEM768,128,0,101,2,200,0.015885,0.041551,0.065461,0.065477
X25519MLKEM768,128,0,101,3,200,0.002084,0.007551,0.024960,0.024975
X25519MLKEM768,128,0,101,4,200,0.081896,0.095921,0.125176,0.125192
X25519MLKEM768,128,0,101,5,200,0.007372,0.031382,0.057790,0.057806
X25519MLKEM768,128,0,101,6,200,0.090981,0.114219,0.134503,0.134527
X25519MLKEM768,128,0,101,7,200,0.020788,0.041988,0.067347,0.067361
X25519MLKEM768,128,0,101,8,200,0.018933,0.038371,0.054377,0.054400
X25519MLKEM768,128,0,101,9,200,0.005045,0.036651,0.072793,0.072810
X25519MLKEM768,128,0,101,10,200,0.004208,0.012862,0.017822,0.017838
X25519MLKEM768,128,0,102,1,200,0.028035,0.058884,0.071387,0.071403
X25519MLKEM768,128,0,102,2,200,0.017127,0.022888,0.046164,0.046179
X25519MLKEM768,128,0,102,3,200,0.002836,0.016880,0.038115,0.038160
X25519MLKEM768,128,0,102,4,200,0.014535,0.033849,0.053261,0.053276
X25519MLKEM768,128,0,102,5,200,0.013538,0.018065,0.033123,0.033139
X25519MLKEM768,128,0,102,6,200,0.027380,0.059850,0.078756,0.078772
X25519MLKEM768,128,0,102,7,200,0.005650,0.082577,0.094568,0.094583
X25519MLKEM768,128,0,102,8,200,0.009726,0.016457,0.035490,0.035507
X25519MLKEM768,128,0,102,9,200,0.004903,0.037258,0.073234,0.073249
X25519MLKEM768,128,0,102,10,200,0.003144,0.012362,0.013560,0.013583
X25519MLKEM768,128,0,103,1,200,0.011258,0.038148,0.073859,0.073874
X25519MLKEM768,128,0,103,2,200,0.003849,0.069871,0.077301,0.077318
X25519MLKEM768,128,0,103,3,200,0.004712,0.028588,0.029193,0.029225
X25519MLKEM768,128,0,103,4,200,0.015500,0.042236,0.057524,0.057539
X25519MLKEM768,128,0,103,5,200,0.010625,0.031158,0.058954,0.058969
X25519MLKEM768,128,0,103,6,200,0.019787,0.049581,0.064277,0.064292
X25519MLKEM768,128,0,103,7,200,0.019485,0.037350,0.052509,0.052525
X25519MLKEM768,128,0,103,8,200,0.001792,0.030000,0.066886,0.066900
X25519MLKEM768,128,0,103,9,200,0.008934,0.016167,0.035193,0.035207
X25519MLKEM768,128,0,103,10,200,0.005817,0.008385,0.018028,0.018042
X25519MLKEM768,128,0,104,1,200,0.001274,0.058219,0.070280,0.070297
X25519MLKEM768,128,0,104,2,200,0.002832,0.029711,0.072980,0.072995
X25519MLKEM768,128,0,104,3,200,0.088022,0.116708,0.120249,0.120266
X25519MLKEM768,128,0,104,4,200,0.017383,0.035552,0.054842,0.054856
X25519MLKEM768,128,0,104,5,200,0.000457,0.034305,0.043425,0.043440
X25519MLKEM768,128,0,104,6,200,0.003953,0.013034,0.030596,0.030610
X25519MLKEM768,128,0,104,7,200,0.001042,0.032566,0.047392,0.047409
X25519MLKEM768,128,0,104,8,200,0.002197,0.028733,0.067221,0.067239
X25519MLKEM768,128,0,104,9,200,0.001092,0.028535,0.068333,0.068348
X25519MLKEM768,128,0,104,10,200,0.006600,0.015306,0.031343,0.031360
X25519MLKEM768,128,0,105,1,200,0.013499,0.032024,0.046920,0.046936
X25519MLKEM768,128,0,105,2,200,0.006159,0.031210,0.059620,0.059634
X25519MLKEM768,128,0,105,3,200,0.025259,0.036094,0.059282,0.059297
X25519MLKEM768,128,0,105,4,200,0.006654,0.034981,0.074933,0.074948
X25519MLKEM768,128,0,105,5,200,0.003913,0.008315,0.021798,0.021814
X25519MLKEM768,128,0,105,6,200,0.090328,0.116370,0.131103,0.131119
X25519MLKEM768,128,0,105,7,200,0.031673,0.058573,0.073092,0.073107
X25519MLKEM768,128,0,105,8,200,0.016621,0.025907,0.048280,0.048297
X25519MLKEM768,128,0,105,9,200,0.013984,0.031745,0.042287,0.042301
X25519MLKEM768,128,0,105,10,200,0.043870,0.046191,0.049170,0.049185
X25519MLKEM768,128,0,106,1,200,0.010617,0.037089,0.047217,0.047230
X25519MLKEM768,128,0,106,2,200,0.087273,0.112049,0.127716,0.127732
X25519MLKEM768,128,0,106,3,200,0.024468,0.029653,0.039186,0.039201
X25519MLKEM768,128,0,106,4,200,0.017192,0.031363,0.048413,0.048429
X25519MLKEM768,128,0,106,5,200,0.017675,0.022521,0.042002,0.042018
X25519MLKEM768,128,0,106,6,200,0.019761,0.045708,0.067863,0.067879
X25519MLKEM768,128,0,106,7,200,0.016990,0.044189,0.055031,0.055046
X25519MLKEM768,128,0,106,8,200,0.030411,0.060084,0.077990,0.078015
X25519MLKEM768,128,0,106,9,200,0.023453,0.030870,0.049531,0.049572
X25519MLKEM768,128,0,106,10,200,0.016623,0.024641,0.034165,0.034212
X25519MLKEM768,128,0,107,1,200,0.012814,0.036444,0.051108,0.051124
X25519MLKEM768,128,0,107,2,200,0.023928,0.036062,0.048073,0.048094
X25519MLKEM768,128,0,107,3,200,0.086182,0.118517,0.137558,0.137573
X25519MLKEM768,128,0,107,4,200,0.092636,0.129618,0.148065,0.148082
X25519MLKEM768,128,0,107,5,200,0.090407,0.117035,0.133829,0.133891
X25519MLKEM768,128,0,107,6,200,0.014096,0.033912,0.056711,0.056727
X25519MLKEM768,128,0,107,7,200,0.010366,0.080711,0.102310,0.102325
X25519MLKEM768,128,0,107,8,200,0.085247,0.111152,0.129323,0.129338
X25519MLKEM768,128,0,107,9,200,0.005676,0.016468,0.028496,0.028511
X25519MLKEM768,128,0,107,10,200,0.002974,0.011684,0.014879,0.014893
X25519MLKEM768,128,0,108,1,200,0.021676,0.025381,0.040656,0.040672
X25519MLKEM768,128,0,108,2,200,0.011950,0.016327,0.031917,0.031932
X25519MLKEM768,128,0,108,3,200,0.011160,0.048823,0.075721,0.075736
X25519MLKEM768,128,0,108,4,200,0.040523,0.049101,0.065151,0.065165
X25519MLKEM768,128,0,108,5,200,0.015894,0.019863,0.035719,0.035734
X25519MLKEM768,128,0,108,6,200,0.024904,0.032247,0.051502,0.051518
X25519MLKEM768,128,0,108,7,200,0.009215,0.043614,0.065808,0.065833
X25519MLKEM768,128,0,108,8,200,0.002753,0.009898,0.027111,0.027138
X25519MLKEM768,128,0,108,9,200,0.019629,0.031852,0.046308,0.046324
X25519MLKEM768,128,0,108,10,200,0.063779,0.071668,0.082215,0.082229
X25519MLKEM768,128,0,109,1,200,0.020029,0.035753,0.057597,0.057612
X25519MLKEM768,128,0,109,2,200,0.087769,0.109609,0.117324,0.117357
X25519MLKEM768,128,0,109,3,200,0.028667,0.060606,0.082702,0.082718
X25519MLKEM768,128,0,109,4,200,0.032402,0.037006,0.055344,0.055360
X25519MLKEM768,128,0,109,5,200,0.003223,0.034899,0.073446,0.073462
X25519MLKEM768,128,0,109,6,200,0.002105,0.030714,0.077991,0.078007
X25519MLKEM768,128,0,109,7,200,0.015537,0.040046,0.058384,0.058399
X25519MLKEM768,128,0,109,8,200,0.007470,0.015570,0.030511,0.030527
X25519MLKEM768,128,0,109,9,200,0.008201,0.013471,0.022821,0.022836
X25519MLKEM768,128,0,109,10,200,0.011062,0.016864,0.017426,0.017440
X25519MLKEM768,128,0,10,1,200,0.001122,0.031842,0.077471,0.077488
X25519MLKEM768,128,0,10,2,200,0.001590,0.027146,0.047683,0.047699
X25519MLKEM768,128,0,10,3,200,0.084669,0.112196,0.130901,0.130925
X25519MLKEM768,128,0,10,4,200,0.033345,0.069244,0.082195,0.082210
X25519MLKEM768,128,0,10,5,200,0.018107,0.020659,0.039850,0.039864
X25519MLKEM768,128,0,10,6,200,0.001487,0.028970,0.073788,0.073803
X25519MLKEM768,128,0,10,7,200,0.002176,0.032856,0.074241,0.074256
X25519MLKEM768,128,0,10,8,200,0.028340,0.060913,0.074014,0.074030
X25519MLKEM768,128,0,10,9,200,0.014502,0.018044,0.037659,0.037675
X25519MLKEM768,128,0,10,10,200,0.005158,0.017572,0.035255,0.035271
X25519MLKEM768,128,0,110,1,200,0.039530,0.098919,0.135715,0.135741
X25519MLKEM768,128,0,110,2,200,0.025236,0.031785,0.047195,0.047214
X25519MLKEM768,128,0,110,3,200,0.003467,0.016805,0.037936,0.037950
X25519MLKEM768,128,0,110,4,200,0.022094,0.031825,0.054069,0.054083
X25519MLKEM768,128,0,110,5,200,0.004704,0.067717,0.073085,0.073101
X25519MLKEM768,128,0,110,6,200,0.002246,0.026614,0.043899,0.043918
X25519MLKEM768,128,0,110,7,200,0.009315,0.031833,0.047429,0.047443
X25519MLKEM768,128,0,110,8,200,0.025585,0.053350,0.072471,0.072488
X25519MLKEM768,128,0,110,9,200,0.008404,0.042141,0.051925,0.051941
X25519MLKEM768,128,0,110,10,200,0.000123,0.004802,0.005519,0.005546
X25519MLKEM768,128,0,111,1,200,0.006848,0.032449,0.044731,0.044746
X25519MLKEM768,128,0,111,2,200,0.029873,0.062983,0.073820,0.073833
X25519MLKEM768,128,0,111,3,200,0.001253,0.042718,0.107372,0.107388
X25519MLKEM768,128,0,111,4,200,0.021999,0.025854,0.044967,0.044982
X25519MLKEM768,128,0,111,5,200,0.009968,0.021096,0.036655,0.036669
X25519MLKEM768,128,0,111,6,200,0.009113,0.016294,0.035811,0.035828
X25519MLKEM768,128,0,111,7,200,0.004438,0.016138,0.033884,0.033898
X25519MLKEM768,128,0,111,8,200,0.003986,0.010541,0.030856,0.030872
X25519MLKEM768,128,0,111,9,200,0.000098,0.062041,0.066397,0.066413
X25519MLKEM768,128,0,111,10,200,0.003468,0.006486,0.008991,0.009006
X25519MLKEM768,128,0,112,1,200,0.006093,0.035711,0.078169,0.078184
X25519MLKEM768,128,0,112,2,200,0.001491,0.007496,0.020712,0.020727
X25519MLKEM768,128,0,112,3,200,0.002064,0.019224,0.031430,0.031446
X25519MLKEM768,128,0,112,4,200,0.093693,0.127701,0.135891,0.135906
X25519MLKEM768,128,0,112,5,200,0.030813,0.056149,0.064609,0.064625
X25519MLKEM768,128,0,112,6,200,0.082107,0.086028,0.100316,0.100332
X25519MLKEM768,128,0,112,7,200,0.020670,0.025805,0.040234,0.040250
X25519MLKEM768,128,0,112,8,200,0.021998,0.044458,0.064770,0.064785
X25519MLKEM768,128,0,112,9,200,0.000335,0.020045,0.039398,0.039414
X25519MLKEM768,128,0,112,10,200,0.014404,0.022788,0.025581,0.025596
X25519MLKEM768,128,0,113,1,200,0.005272,0.024231,0.058683,0.058699
