ts,role,host,load1,load5,load15,mem_available_kb,established,time_wait,syn_recv,listen,curl_count,haproxy_count,backend_count,haproxy_fd
2026-06-22T11:00:21+03:00,BACKEND,pqc-fedora-vm-backend,0.12,0.14,0.10,7511180,0,0,0,8,0,0,1,0
2026-06-22T11:00:22+03:00,BACKEND,pqc-fedora-vm-backend,0.12,0.14,0.10,7511056,0,0,0,8,0,0,1,0
2026-06-22T11:00:23+03:00,BACKEND,pqc-fedora-vm-backend,0.11,0.14,0.10,7510260,0,0,0,8,0,0,1,0
2026-06-22T11:00:24+03:00,BACKEND,pqc-fedora-vm-backend,0.11,0.14,0.10,7510584,0,0,0,8,0,0,1,0
2026-06-22T11:00:25+03:00,BACKEND,pqc-fedora-vm-backend,0.11,0.14,0.10,7510764,0,0,0,8,0,0,1,0
2026-06-22T11:00:26+03:00,BACKEND,pqc-fedora-vm-backend,0.11,0.14,0.10,7510616,0,0,0,8,0,0,1,0
2026-06-22T11:00:27+03:00,BACKEND,pqc-fedora-vm-backend,0.11,0.14,0.10,7511476,0,0,0,8,0,0,1,0
2026-06-22T11:00:28+03:00,BACKEND,pqc-fedora-vm-backend,0.11,0.14,0.10,7512000,0,0,0,8,0,0,1,0
2026-06-22T11:00:29+03:00,BACKEND,pqc-fedora-vm-backend,0.11,0.14,0.10,7511860,0,0,0,8,0,0,1,0
2026-06-22T11:00:30+03:00,BACKEND,pqc-fedora-vm-backend,0.11,0.14,0.10,7511196,0,0,0,8,0,0,1,0
2026-06-22T11:00:31+03:00,BACKEND,pqc-fedora-vm-backend,0.11,0.14,0.10,7511380,0,0,0,8,0,0,1,0
2026-06-22T11:00:32+03:00,BACKEND,pqc-fedora-vm-backend,0.11,0.14,0.10,7508372,0,377,0,8,0,0,1,0
2026-06-22T11:00:33+03:00,BACKEND,pqc-fedora-vm-backend,0.10,0.13,0.10,7496996,0,1154,0,8,0,0,1,0
2026-06-22T11:00:34+03:00,BACKEND,pqc-fedora-vm-backend,0.10,0.13,0.10,7486796,0,1918,0,8,0,0,1,0
2026-06-22T11:00:35+03:00,BACKEND,pqc-fedora-vm-backend,0.10,0.13,0.10,7477884,0,2653,0,8,0,0,1,0
2026-06-22T11:00:37+03:00,BACKEND,pqc-fedora-vm-backend,0.10,0.13,0.10,7472188,1,3200,0,8,0,0,1,0
2026-06-22T11:00:38+03:00,BACKEND,pqc-fedora-vm-backend,0.10,0.13,0.10,7463760,1,3777,0,8,0,0,1,0
2026-06-22T11:00:39+03:00,BACKEND,pqc-fedora-vm-backend,0.09,0.13,0.10,7462212,0,4379,0,8,0,0,1,0
2026-06-22T11:00:40+03:00,BACKEND,pqc-fedora-vm-backend,0.09,0.13,0.10,7459216,12,4817,0,8,0,0,1,0
2026-06-22T11:00:41+03:00,BACKEND,pqc-fedora-vm-backend,0.09,0.13,0.10,7451528,10,5369,0,8,0,0,1,0
2026-06-22T11:00:42+03:00,BACKEND,pqc-fedora-vm-backend,0.09,0.13,0.10,7443416,8,5848,0,8,0,0,1,0
2026-06-22T11:00:43+03:00,BACKEND,pqc-fedora-vm-backend,0.08,0.13,0.10,7439884,9,6295,0,8,0,0,1,0
2026-06-22T11:00:44+03:00,BACKEND,pqc-fedora-vm-backend,0.08,0.13,0.10,7429808,12,6722,0,8,0,0,1,0
2026-06-22T11:00:45+03:00,BACKEND,pqc-fedora-vm-backend,0.08,0.13,0.10,7426428,15,7109,0,8,0,0,1,0
2026-06-22T11:00:46+03:00,BACKEND,pqc-fedora-vm-backend,0.08,0.13,0.10,7419612,0,7446,0,8,0,0,1,0
2026-06-22T11:00:47+03:00,BACKEND,pqc-fedora-vm-backend,0.08,0.13,0.10,7419836,46,7698,0,8,0,0,1,0
2026-06-22T11:00:48+03:00,BACKEND,pqc-fedora-vm-backend,0.07,0.13,0.10,7417716,49,8051,0,8,0,0,1,0
2026-06-22T11:00:49+03:00,BACKEND,pqc-fedora-vm-backend,0.07,0.13,0.10,7411432,42,8381,0,8,0,0,1,0
2026-06-22T11:00:50+03:00,BACKEND,pqc-fedora-vm-backend,0.07,0.13,0.10,7412256,43,8578,0,8,0,0,1,0
2026-06-22T11:00:51+03:00,BACKEND,pqc-fedora-vm-backend,0.07,0.13,0.10,7409568,42,8834,0,8,0,0,1,0
2026-06-22T11:00:52+03:00,BACKEND,pqc-fedora-vm-backend,0.07,0.13,0.10,7404084,39,9076,0,8,0,0,1,0
2026-06-22T11:00:53+03:00,BACKEND,pqc-fedora-vm-backend,0.07,0.12,0.10,7409400,0,9279,0,8,0,0,1,0
2026-06-22T11:00:54+03:00,BACKEND,pqc-fedora-vm-backend,0.07,0.12,0.10,7424696,0,9279,0,8,0,0,1,0
2026-06-22T11:00:55+03:00,BACKEND,pqc-fedora-vm-backend,0.07,0.12,0.10,7433888,0,9279,0,8,0,0,1,0
2026-06-22T11:00:56+03:00,BACKEND,pqc-fedora-vm-backend,0.07,0.12,0.10,7449000,0,9279,0,8,0,0,1,0
2026-06-22T11:00:57+03:00,BACKEND,pqc-fedora-vm-backend,0.07,0.12,0.10,7454680,0,9279,0,8,0,0,1,0
2026-06-22T11:00:58+03:00,BACKEND,pqc-fedora-vm-backend,0.06,0.12,0.09,7467672,0,9279,0,8,0,0,1,0
2026-06-22T11:00:59+03:00,BACKEND,pqc-fedora-vm-backend,0.06,0.12,0.09,7476772,0,9278,0,8,0,0,1,0
2026-06-22T11:01:00+03:00,BACKEND,pqc-fedora-vm-backend,0.06,0.12,0.09,7483508,0,9278,0,8,0,0,1,0
2026-06-22T11:01:01+03:00,BACKEND,pqc-fedora-vm-backend,0.06,0.12,0.09,7492996,0,9277,0,8,0,0,1,0
2026-06-22T11:01:03+03:00,BACKEND,pqc-fedora-vm-backend,0.06,0.12,0.09,7495508,0,9277,0,8,0,0,1,0
2026-06-22T11:01:04+03:00,BACKEND,pqc-fedora-vm-backend,0.06,0.12,0.09,7498864,0,9277,0,8,0,0,1,0
2026-06-22T11:01:05+03:00,BACKEND,pqc-fedora-vm-backend,0.06,0.12,0.09,7500968,0,9277,0,8,0,0,1,0
2026-06-22T11:01:06+03:00,BACKEND,pqc-fedora-vm-backend,0.06,0.12,0.09,7503056,0,9277,0,8,0,0,1,0
2026-06-22T11:01:07+03:00,BACKEND,pqc-fedora-vm-backend,0.06,0.12,0.09,7502848,0,9277,0,8,0,0,1,0
2026-06-22T11:01:08+03:00,BACKEND,pqc-fedora-vm-backend,0.06,0.12,0.09,7502848,0,9276,0,8,0,0,1,0
2026-06-22T11:01:09+03:00,BACKEND,pqc-fedora-vm-backend,0.05,0.12,0.09,7503500,0,9276,0,8,0,0,1,0
2026-06-22T11:01:10+03:00,BACKEND,pqc-fedora-vm-backend,0.05,0.12,0.09,7503416,0,9275,0,8,0,0,1,0
2026-06-22T11:01:11+03:00,BACKEND,pqc-fedora-vm-backend,0.05,0.12,0.09,7503628,0,9275,0,8,0,0,1,0
2026-06-22T11:01:12+03:00,BACKEND,pqc-fedora-vm-backend,0.05,0.12,0.09,7503468,0,9275,0,8,0,0,1,0
2026-06-22T11:01:13+03:00,BACKEND,pqc-fedora-vm-backend,0.05,0.12,0.09,7503400,0,9275,0,8,0,0,1,0
2026-06-22T11:01:14+03:00,BACKEND,pqc-fedora-vm-backend,0.05,0.12,0.09,7504000,0,9275,0,8,0,0,1,0
