ts,role,host,load1,load5,load15,mem_available_kb,established,time_wait,syn_recv,listen,curl_count,haproxy_count,backend_count,haproxy_fd
2026-06-22T11:00:21+03:00,GATEWAY,pqc-fedora-vm-baseline,0.16,0.10,0.09,15607632,0,0,0,8,0,1,0,30
2026-06-22T11:00:22+03:00,GATEWAY,pqc-fedora-vm-baseline,0.16,0.10,0.09,15607704,0,0,0,8,0,1,0,30
2026-06-22T11:00:23+03:00,GATEWAY,pqc-fedora-vm-baseline,0.16,0.10,0.09,15606536,0,0,0,8,0,1,0,30
2026-06-22T11:00:24+03:00,GATEWAY,pqc-fedora-vm-baseline,0.16,0.10,0.09,15606284,0,0,0,8,0,1,0,30
2026-06-22T11:00:25+03:00,GATEWAY,pqc-fedora-vm-baseline,0.15,0.10,0.09,15606032,0,0,0,8,0,1,0,30
2026-06-22T11:00:26+03:00,GATEWAY,pqc-fedora-vm-baseline,0.15,0.10,0.09,15605792,0,0,0,8,0,1,0,30
2026-06-22T11:00:27+03:00,GATEWAY,pqc-fedora-vm-baseline,0.15,0.10,0.09,15605744,0,0,0,8,0,1,0,30
2026-06-22T11:00:28+03:00,GATEWAY,pqc-fedora-vm-baseline,0.15,0.10,0.09,15606064,0,0,0,8,0,1,0,30
2026-06-22T11:00:29+03:00,GATEWAY,pqc-fedora-vm-baseline,0.15,0.10,0.09,15606064,0,0,0,8,0,1,0,30
2026-06-22T11:00:30+03:00,GATEWAY,pqc-fedora-vm-baseline,0.14,0.10,0.09,15605824,0,0,0,8,0,1,0,30
2026-06-22T11:00:31+03:00,GATEWAY,pqc-fedora-vm-baseline,0.14,0.10,0.09,15606072,0,0,0,8,0,1,0,30
2026-06-22T11:00:32+03:00,GATEWAY,pqc-fedora-vm-baseline,0.14,0.10,0.09,15605872,41,11,0,8,0,1,0,67
2026-06-22T11:00:33+03:00,GATEWAY,pqc-fedora-vm-baseline,0.14,0.10,0.09,15604192,45,50,0,8,0,1,0,79
2026-06-22T11:00:34+03:00,GATEWAY,pqc-fedora-vm-baseline,0.14,0.10,0.09,15603332,47,77,0,8,0,1,0,60
2026-06-22T11:00:35+03:00,GATEWAY,pqc-fedora-vm-baseline,0.13,0.10,0.09,15602764,47,100,0,8,0,1,0,77
2026-06-22T11:00:36+03:00,GATEWAY,pqc-fedora-vm-baseline,0.13,0.10,0.09,15601896,46,118,0,8,0,1,0,67
2026-06-22T11:00:38+03:00,GATEWAY,pqc-fedora-vm-baseline,0.13,0.10,0.09,15600576,40,144,0,8,0,1,0,86
2026-06-22T11:00:39+03:00,GATEWAY,pqc-fedora-vm-baseline,0.13,0.10,0.09,15600852,30,169,0,8,0,1,0,56
2026-06-22T11:00:40+03:00,GATEWAY,pqc-fedora-vm-baseline,0.13,0.10,0.09,15600104,51,185,0,8,0,1,0,94
