ts,role,host,load1,load5,load15,mem_available_kb,established,time_wait,syn_recv,listen,curl_count,haproxy_count,backend_count,haproxy_fd
2026-06-22T11:00:21+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.25,2.63,2.12,7518080,0,0,0,7,0,0,0,0
2026-06-22T11:00:22+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.25,2.63,2.12,7518324,0,0,0,7,0,0,0,0
2026-06-22T11:00:23+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.25,2.63,2.12,7518152,0,0,0,7,0,0,0,0
2026-06-22T11:00:24+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.25,2.63,2.12,7518152,0,0,0,7,0,0,0,0
2026-06-22T11:00:25+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.23,2.59,2.10,7518088,0,0,0,7,0,0,0,0
2026-06-22T11:00:26+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.23,2.59,2.10,7517912,0,0,0,7,0,0,0,0
2026-06-22T11:00:27+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.23,2.59,2.10,7517608,0,0,0,7,0,0,0,0
2026-06-22T11:00:28+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.23,2.59,2.10,7517368,0,0,0,7,0,0,0,0
2026-06-22T11:00:29+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.23,2.59,2.10,7517724,0,0,0,7,0,0,0,0
2026-06-22T11:00:30+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.21,2.54,2.09,7517976,0,0,0,7,0,0,0,0
2026-06-22T11:00:31+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.21,2.54,2.09,7518480,0,0,0,7,0,0,0,0
2026-06-22T11:00:32+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.21,2.54,2.09,7308472,35,0,0,7,250,0,0,0
2026-06-22T11:00:33+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.21,2.54,2.09,7304256,47,0,0,7,253,0,0,0
2026-06-22T11:00:34+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.21,2.54,2.09,7311760,47,0,0,7,253,0,0,0
2026-06-22T11:00:35+03:00,LOADGEN,pqc-fedora-vm-loadgen,10.44,4.63,2.77,7314816,44,0,0,7,254,0,0,0
2026-06-22T11:00:36+03:00,LOADGEN,pqc-fedora-vm-loadgen,10.44,4.63,2.77,7315488,43,0,0,7,253,0,0,0
2026-06-22T11:00:37+03:00,LOADGEN,pqc-fedora-vm-loadgen,10.44,4.63,2.77,7318412,46,0,0,7,252,0,0,0
2026-06-22T11:00:39+03:00,LOADGEN,pqc-fedora-vm-loadgen,10.44,4.63,2.77,7340084,32,0,0,7,215,0,0,0
2026-06-22T11:00:40+03:00,LOADGEN,pqc-fedora-vm-loadgen,10.44,4.63,2.77,7300204,43,0,0,7,142,0,0,0
2026-06-22T11:00:46+03:00,LOADGEN,pqc-fedora-vm-loadgen,26.20,8.21,3.95,7221440,62,0,0,7,254,0,0,0
2026-06-22T11:00:47+03:00,LOADGEN,pqc-fedora-vm-loadgen,26.20,8.21,3.95,7238408,83,0,0,7,140,0,0,0
2026-06-22T11:00:49+03:00,LOADGEN,pqc-fedora-vm-loadgen,26.20,8.21,3.95,7247980,66,0,0,7,254,0,0,0
2026-06-22T11:00:50+03:00,LOADGEN,pqc-fedora-vm-loadgen,32.03,9.72,4.47,7251684,74,0,0,7,245,0,0,0
2026-06-22T11:00:51+03:00,LOADGEN,pqc-fedora-vm-loadgen,32.03,9.72,4.47,7245472,79,0,0,7,255,0,0,0
2026-06-22T11:00:52+03:00,LOADGEN,pqc-fedora-vm-loadgen,32.03,9.72,4.47,7256668,68,0,0,7,249,0,0,0
2026-06-22T11:00:53+03:00,LOADGEN,pqc-fedora-vm-loadgen,32.03,9.72,4.47,7366916,1,1,0,7,1,0,0,0
2026-06-22T11:00:54+03:00,LOADGEN,pqc-fedora-vm-loadgen,32.03,9.72,4.47,7375812,0,1,0,7,0,0,0,0
2026-06-22T11:00:55+03:00,LOADGEN,pqc-fedora-vm-loadgen,29.47,9.55,4.44,7383000,0,1,0,7,0,0,0,0
2026-06-22T11:00:56+03:00,LOADGEN,pqc-fedora-vm-loadgen,29.47,9.55,4.44,7387688,0,1,0,7,0,0,0,0
2026-06-22T11:00:57+03:00,LOADGEN,pqc-fedora-vm-loadgen,29.47,9.55,4.44,7389692,0,1,0,7,0,0,0,0
2026-06-22T11:00:58+03:00,LOADGEN,pqc-fedora-vm-loadgen,29.47,9.55,4.44,7389980,0,1,0,7,0,0,0,0
2026-06-22T11:00:59+03:00,LOADGEN,pqc-fedora-vm-loadgen,29.47,9.55,4.44,7389836,0,1,0,7,0,0,0,0
2026-06-22T11:01:00+03:00,LOADGEN,pqc-fedora-vm-loadgen,27.11,9.40,4.42,7389928,0,1,0,7,0,0,0,0
2026-06-22T11:01:01+03:00,LOADGEN,pqc-fedora-vm-loadgen,27.11,9.40,4.42,7389928,0,1,0,7,0,0,0,0
2026-06-22T11:01:02+03:00,LOADGEN,pqc-fedora-vm-loadgen,27.11,9.40,4.42,7395972,0,1,0,7,0,0,0,0
2026-06-22T11:01:03+03:00,LOADGEN,pqc-fedora-vm-loadgen,27.11,9.40,4.42,7408584,0,1,0,7,0,0,0,0
2026-06-22T11:01:04+03:00,LOADGEN,pqc-fedora-vm-loadgen,27.11,9.40,4.42,7420020,0,1,0,7,0,0,0,0
2026-06-22T11:01:05+03:00,LOADGEN,pqc-fedora-vm-loadgen,24.94,9.24,4.39,7434712,0,1,0,7,0,0,0,0
2026-06-22T11:01:07+03:00,LOADGEN,pqc-fedora-vm-loadgen,24.94,9.24,4.39,7446444,0,1,0,7,0,0,0,0
2026-06-22T11:01:08+03:00,LOADGEN,pqc-fedora-vm-loadgen,24.94,9.24,4.39,7457496,0,1,0,7,0,0,0,0
2026-06-22T11:01:09+03:00,LOADGEN,pqc-fedora-vm-loadgen,24.94,9.24,4.39,7467828,0,1,0,7,0,0,0,0
2026-06-22T11:01:10+03:00,LOADGEN,pqc-fedora-vm-loadgen,22.94,9.09,4.37,7475276,0,1,0,7,0,0,0,0
2026-06-22T11:01:11+03:00,LOADGEN,pqc-fedora-vm-loadgen,22.94,9.09,4.37,7487048,0,1,0,7,0,0,0,0
2026-06-22T11:01:12+03:00,LOADGEN,pqc-fedora-vm-loadgen,22.94,9.09,4.37,7495112,0,1,0,7,0,0,0,0
2026-06-22T11:01:13+03:00,LOADGEN,pqc-fedora-vm-loadgen,22.94,9.09,4.37,7496688,0,1,0,7,0,0,0,0
2026-06-22T11:01:14+03:00,LOADGEN,pqc-fedora-vm-loadgen,22.94,9.09,4.37,7497972,1,1,0,7,0,0,0,0
