ts,role,host,load1,load5,load15,mem_available_kb,established,time_wait,syn_recv,listen,curl_count,haproxy_count,backend_count,haproxy_fd
2026-06-22T10:53:18+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.07,0.09,0.17,7520328,0,0,0,7,0,0,0,0
2026-06-22T10:53:19+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.07,0.09,0.17,7519900,0,0,0,7,0,0,0,0
2026-06-22T10:53:20+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.07,0.09,0.17,7519660,0,0,0,7,0,0,0,0
2026-06-22T10:53:21+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.07,0.09,0.17,7519660,0,0,0,7,0,0,0,0
2026-06-22T10:53:22+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.07,0.09,0.17,7519180,0,0,0,7,0,0,0,0
2026-06-22T10:53:23+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.07,0.09,0.17,7519720,0,0,0,7,0,0,0,0
2026-06-22T10:53:24+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.07,0.09,0.17,7519972,0,0,0,7,0,0,0,0
2026-06-22T10:53:25+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.06,0.09,0.17,7520728,0,0,0,7,0,0,0,0
2026-06-22T10:53:27+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.06,0.09,0.17,7520728,0,0,0,7,0,0,0,0
2026-06-22T10:53:28+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.06,0.09,0.17,7520728,0,0,0,7,0,0,0,0
2026-06-22T10:53:29+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.06,0.09,0.17,7520312,0,0,0,7,0,0,0,0
2026-06-22T10:53:30+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.06,0.09,0.17,7519820,0,0,0,7,0,0,0,0
2026-06-22T10:53:31+03:00,LOADGEN,pqc-fedora-vm-loadgen,0.06,0.09,0.17,7520032,0,0,0,7,0,0,0,0
