delay_ms,iter,http_code,time_connect,time_appconnect,time_starttransfer,time_total
0,1,200,0.000482,0.003436,0.004584,0.004615
0,2,200,0.000179,0.003057,0.003903,0.003924
0,3,200,0.000134,0.002619,0.003384,0.003402
0,4,200,0.000139,0.002639,0.003413,0.003432
0,5,200,0.000132,0.002594,0.003333,0.003348
0,6,200,0.000157,0.002670,0.003411,0.003439
0,7,200,0.000174,0.002680,0.003469,0.003487
0,8,200,0.000176,0.002688,0.003422,0.003441
0,9,200,0.000150,0.002651,0.003430,0.003445
0,10,200,0.000164,0.003212,0.003916,0.003931
10,1,200,0.000181,0.002626,0.013446,0.013462
10,2,200,0.000160,0.002683,0.013594,0.013635
10,3,200,0.000132,0.002743,0.013803,0.013839
10,4,200,0.000178,0.002782,0.013739,0.013787
10,5,200,0.000134,0.002690,0.013686,0.013719
10,6,200,0.000134,0.002579,0.013482,0.013525
10,7,200,0.000156,0.002623,0.013641,0.013678
10,8,200,0.000160,0.002791,0.013856,0.013885
10,9,200,0.000152,0.002696,0.013688,0.013704
10,10,200,0.000149,0.002678,0.013483,0.013499
50,1,200,0.000146,0.002656,0.053574,0.053595
50,2,200,0.000145,0.002827,0.054112,0.054156
50,3,200,0.000267,0.003026,0.054247,0.054288
50,4,200,0.000283,0.004381,0.055927,0.055972
50,5,200,0.000192,0.003037,0.054566,0.054612
50,6,200,0.000221,0.003197,0.054424,0.054445
50,7,200,0.000218,0.003249,0.054291,0.054322
50,8,200,0.000170,0.002959,0.054732,0.054786
50,9,200,0.000244,0.002974,0.054452,0.054497
50,10,200,0.000200,0.003231,0.054425,0.054457
