delay_ms,iter,http_code,time_connect,time_appconnect,time_starttransfer,time_total
0,1,200,0.000514,0.003644,0.004858,0.004877
0,2,200,0.000188,0.002939,0.003960,0.003978
0,3,200,0.000146,0.002620,0.003390,0.003409
0,4,200,0.000124,0.002452,0.003211,0.003235
0,5,200,0.000175,0.002603,0.003336,0.003354
0,6,200,0.000156,0.002609,0.003374,0.003393
0,7,200,0.000163,0.002662,0.003470,0.003489
0,8,200,0.000160,0.002936,0.003657,0.003676
0,9,200,0.000141,0.002483,0.003114,0.003133
0,10,200,0.000153,0.002458,0.003223,0.003245
10,1,200,0.000123,0.002429,0.013383,0.013403
10,2,200,0.000144,0.002520,0.013465,0.013484
10,3,200,0.000131,0.002699,0.013886,0.013914
10,4,200,0.000157,0.002487,0.013379,0.013398
10,5,200,0.000140,0.002720,0.013569,0.013593
10,6,200,0.000131,0.002532,0.013580,0.013613
10,7,200,0.000154,0.002504,0.013540,0.013568
10,8,200,0.000186,0.002609,0.013582,0.013612
10,9,200,0.000180,0.002511,0.013712,0.013739
10,10,200,0.000144,0.002466,0.013595,0.013611
50,1,200,0.000176,0.003169,0.054885,0.054954
50,2,200,0.000197,0.003225,0.054955,0.055011
50,3,200,0.000213,0.002669,0.053971,0.054003
50,4,200,0.000247,0.002775,0.053908,0.053942
50,5,200,0.000186,0.002649,0.053838,0.053857
50,6,200,0.000217,0.002585,0.053754,0.053777
50,7,200,0.000218,0.003465,0.054915,0.054962
50,8,200,0.000275,0.002750,0.054081,0.054114
50,9,200,0.000222,0.002614,0.053546,0.053568
50,10,200,0.000216,0.002929,0.053857,0.053881
